id;title;original_language;release_date;popularity;vote_average;runtime;genre_names;;;
1;The Dark;en;28/09/2005;8.212;5.8;87;Horror, Mystery, Thriller;;;
2;Open Water;en;06/08/2004;19.112;5.5;79;Drama, Horror, Thriller;;;
3;Saw;en;01/10/2004;93.053;7.4;103;Crime, Horror, Mystery;;;
4;Saw III;en;27/10/2006;59.343;6.4;114;Crime, Horror, Thriller;;;
5;Saw II;en;28/10/2005;60.408;6.6;89;Horror;;;
6;Snakes on a Plane;en;17/08/2006;20.872;5.4;105;Action, Crime, Horror, Thriller;;;
7;Alien;en;25/05/1979;60.982;8.1;117;Horror, Science Fiction;;;
8;A Nightmare on Elm Street;en;09/11/1984;44.489;7.3;91;Horror;;;
9;AVP: Alien vs. Predator;en;12/08/2004;50.996;5.9;101;Action, Adventure, Horror, Science Fiction;;;
10;Aliens vs Predator: Requiem;en;25/12/2007;73.039;5.1;94;Action, Fantasy, Horror, Science Fiction, Thriller;;;
11;The Hole;en;20/04/2001;7.168;6.2;102;Crime, Drama, Horror, Thriller;;;
12;Requiem;de;02/03/2006;8.045;6.8;92;Drama, Horror;;;
13;Psycho;en;22/06/1960;42.064;8.4;109;Drama, Horror, Thriller;;;
14;Constantine;en;08/02/2005;119.677;7;121;Action, Fantasy, Horror;;;
15;The Ring;en;18/10/2002;73.898;6.6;115;Horror, Mystery;;;
16;The Birds;en;28/03/1963;30.096;7.5;119;Horror;;;
17;Next Door;no;11/03/2005;8.772;6.4;75;Horror, Mystery, Thriller;;;
18;Frenzy;en;25/05/1972;12.191;7.1;116;Crime, Horror, Thriller;;;
19;Jaws;en;20/06/1975;51.381;7.6;124;Adventure, Horror, Thriller;;;
20;Jaws 2;en;16/06/1978;26.18;5.9;116;Horror, Thriller;;;
21;Jaws: The Revenge;en;17/07/1987;25.29;4.1;89;Adventure, Horror, Thriller;;;
22;Silent Hill;en;21/04/2006;35.639;6.5;125;Horror, Mystery;;;
23;Poltergeist;en;04/06/1982;40.123;7.1;114;Horror;;;
24;The Ninth Gate;en;25/08/1999;18.175;6.4;133;Horror, Mystery, Thriller;;;
25;Interview with the Vampire;en;11/11/1994;42.674;7.4;123;Drama, Fantasy, Horror;;;
26;Angel Heart;en;06/03/1987;16.396;7.1;113;Horror, Mystery;;;
27;Saw IV;en;25/10/2007;54.942;6.2;96;Crime, Horror, Thriller;;;
28;The Shining;en;23/05/1980;63.472;8.2;144;Horror, Thriller;;;
29;Shaun of the Dead;en;09/04/2004;46.937;7.5;99;Comedy, Horror;;;
30;From Dusk Till Dawn;en;19/01/1996;25.818;7;108;Action, Crime, Horror, Thriller;;;
31;Braindead;en;13/08/1992;16.344;7.4;103;Comedy, Horror;;;
32;The Evil Dead;en;10/09/1981;46.079;7.3;85;Horror;;;
33;Evil Dead II;en;13/03/1987;33.777;7.6;84;Comedy, Fantasy, Horror;;;
34;Army of Darkness;en;31/10/1992;41.242;7.3;81;Comedy, Fantasy, Horror;;;
35;From Hell;en;08/02/2001;25.656;6.7;122;Horror, Mystery, Thriller;;;
36;The Fog;en;;;;;;;;
37;The Fog;en;14/10/2005;21.112;4.5;100;Horror, Thriller;;;
38;The Omen;en;25/06/1976;27.545;7.4;111;Horror, Thriller;;;
39;Rosemary's Baby;en;12/06/1968;22.975;7.8;138;Drama, Horror, Thriller;;;
40;The Omen;en;06/06/2006;22.728;5.5;110;Horror;;;
41;An American Werewolf in London;en;21/08/1981;41.806;7.4;97;Comedy, Horror;;;
42;Diabolique;fr;29/01/1955;10.666;7.9;117;Drama, Horror, Thriller;;;
43;This Island Earth;en;01/06/1955;6.78;5.9;87;Adventure, Horror, Science Fiction;;;
44;Videodrome;en;04/02/1983;17.735;7.3;88;Horror, Mystery, Science Fiction;;;
45;Blood: The Last Vampire;ja;18/11/2000;13.029;6.8;48;Animation, Fantasy, Horror;;;
46;Dawn of the Dead;en;02/09/1978;25.198;7.5;127;Horror;;;
47;Dawn of the Dead;en;19/03/2004;41.981;7;101;Action, Horror;;;
48;Gremlins;en;07/06/1984;30.063;7.1;106;Comedy, Fantasy, Horror;;;
49;Gremlins 2: The New Batch;en;15/06/1990;29.242;6.4;106;Comedy, Fantasy, Horror;;;
50;Don't Look Now;en;03/12/1973;10.95;7;110;Drama, Horror, Thriller;;;
51;Halloween;en;24/10/1978;109.29;7.6;91;Horror, Thriller;;;
52;Eraserhead;en;19/03/1977;16.376;7.4;89;Fantasy, Horror;;;
53;The Thing;en;25/06/1982;56.545;8;109;Horror, Mystery, Science Fiction;;;
54;Hannibal Rising;en;06/02/2007;7.051;6.2;121;Crime, Drama, Horror, Thriller;;;
55;The Host;ko;;;;;;;;
56;Dead in 3 days;de;21/07/2006;3.271;5.3;97;Horror, Thriller;;;
57;Sunshine;en;05/04/2007;18.165;7;107;Horror, Science Fiction, Thriller;;;
58;Flying Saucer Rock 'N' Roll;en;18/03/2006;1.314;3;85;Adventure, Comedy, Horror, Science Fiction;;;
59;The Devil's Backbone;es;20/04/2001;16.774;7.3;108;Drama, Fantasy, Horror, Thriller;;;
60;The Wisdom of Crocodiles;en;27/11/1998;7.267;5.8;98;Drama, Fantasy, Horror;;;
61;Blood: The Last Vampire;en;02/04/2009;12.024;5.7;91;Action, Adventure, Horror, Science Fiction, Thriller;;;
62;Begotten;en;05/06/1991;9.993;5.9;72;Fantasy, Horror;;;
63;The Lost Boys;en;31/07/1987;23.542;7.1;97;Comedy, Horror;;;
64;Flatliners;en;10/08/1990;17.805;6.5;115;Drama, Horror, Science Fiction;;;
65;Singapore Sling;el;06/12/1990;3.274;6.8;112;Comedy, Drama, Horror;;;
66;Pig;en;01/01/1999;0.866;5.5;23;Horror, Thriller;;;
67;Resident Evil;en;15/03/2002;24.356;6.6;100;Action, Horror, Science Fiction;;;
68;Resident Evil: Apocalypse;en;10/09/2004;25.504;6.3;94;Action, Horror, Science Fiction;;;
69;Population 436;en;04/07/2006;9.59;5.8;88;Horror, Thriller;;;
70;The Vanishing;en;05/02/1993;11.891;6.1;109;Drama, Horror, Mystery, Thriller;;;
71;The Squeaker;de;26/04/1963;2.572;6.3;89;Crime, Horror, Mystery, Thriller;;;
72;Godzilla;ja;03/11/1954;14.815;7.6;96;Horror, Science Fiction, Thriller;;;
73;Godzilla Raids Again;ja;24/04/1955;15.389;6;82;Action, Adventure, Drama, Horror, Science Fiction, Thriller;;;
74;The Reaping;en;05/04/2007;12.386;5.7;99;Horror;;;
75;Hostel;en;17/09/2005;50.839;5.9;94;Horror;;;
76;Hostel: Part II;en;08/06/2007;49.793;5.8;93;Horror;;;
77;Monster Man;en;30/07/2003;5.23;6;95;Horror;;;
78;Re-Animator;en;18/10/1985;17.048;7;86;Comedy, Horror, Science Fiction;;;
79;The Devil's Rejects;en;22/07/2005;16.424;6.8;107;Crime, Drama, Horror;;;
80;Anatomy;de;03/02/2000;8.708;6;103;Horror, Thriller;;;
81;Anatomy 2;de;23/11/2003;6.135;5.6;101;Horror, Thriller;;;
82;Death Machine;en;23/12/1994;5.76;5.7;117;Action, Horror, Science Fiction, Thriller;;;
